Newly confirmed cases,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed,Deaths(Cumulative),Severe cases
48366,459248.0,2300161.0,24816.0,31688.0,4120.0
45460,462718.0,2338691.0,28768.0,31778.0,4140.0
38604,463192.0,2374583.0,32580.0,31878.0,4150.0
27244,431254.0,2455439.0,13878.0,31974.0,4220.0
35404,417024.0,2501795.0,15410.0,32068.0,4184.0
40048,411154.0,2548233.0,16738.0,32232.0,4316.0
36432,408620.0,2585825.0,16454.0,32354.0,4442.0
33458,399968.0,2631057.0,13940.0,32480.0,4446.0
32000,382006.0,2679525.0,13862.0,32612.0,4414.0
25782,369118.0,2720899.0,13648.0,32694.0,4396.0
16446,354734.0,2754201.0,13708.0,32760.0,4418.0
21178,330414.0,2801303.0,12510.0,32858.0,4422.0
24776,315462.0,2840013.0,12274.0,33036.0,4346.0
20766,300048.0,2877427.0,11788.0,33192.0,4250.0
