employ_apply,employ_decision,employ_cnt,life_cnt_apply,life_cnt,life_decision,pcr_test_cnt,pcr_cnt
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,21138.0,19576.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,62615.0,78171.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,61916.0,72625.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,67576.0,83654.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,77063.0,86873.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,67044.0,77112.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,38122.0,58062.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,17098.0,17217.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,58706.0,71173.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,53956.0,65265.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,66486.0,72860.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,60703.0,76876.0
64955.0,61505.0,470.5706746,2743221.0,2641615.0,11451.68066,71192.0,76539.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,44123.0,56976.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,26094.0,20597.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,64222.0,91768.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,103897.0,96362.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,64174.0,119971.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,67513.0,134382.0
61204.0,62872.0,529.3634145,2743221.0,2641615.0,11451.68066,76436.0,132031.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,43473.0,103269.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,25835.0,54182.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,68952.0,113048.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,65964.0,116784.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,69363.0,144712.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,37605.0,92225.0
39591.0,42947.0,299.289,2743221.0,2641615.0,11451.68066,50137.0,81281.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,32099.0,129426.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,17654.0,69081.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,95137.0,121268.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,92345.0,139889.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,86528.0,164222.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,88769.0,174022.0
82683.0,68476.0,580.8391838,2743221.0,2641615.0,11451.68066,88920.0,172664.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,87700.0,148404.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,36604.0,82085.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,105130.0,155827.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,83159.0,172871.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,100583.0,193130.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,114844.0,195022.0
76507.0,64915.0,539.6731336,2743221.0,2641615.0,11451.68066,112653.0,200760.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,71501.0,171782.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,41841.0,100325.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,28421.0,93655.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,126671.0,168005.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,128856.0,201531.0
52454.0,52285.0,488.9244134,2743221.0,2641615.0,11451.68066,110733.0,203484.0
52454.0,52285.0,488.9244134,,,,134540.0,191161.0
55189.0,67697.0,589.2992041,,,,81455.0,152312.0
55189.0,67697.0,589.2992041,,,,62842.0,79395.0
55189.0,67697.0,589.2992041,,,,104174.0,157529.0
55189.0,67697.0,589.2992041,,,,118072.0,197422.0
55189.0,67697.0,589.2992041,,,,131491.0,222130.0
55189.0,67697.0,589.2992041,,,,232366.0,236728.0
55189.0,67697.0,589.2992041,,,,29228.0,249223.0
64542.0,70880.0,537.3591882,,,,113293.0,202371.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,55312.0,107267.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,132921.0,201477.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,161737.0,224240.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,144846.0,243240.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,145404.0,262123.0
64542.0,70880.0,537.3591882,28449.0,33050.0,142.99739,174004.0,267295.0
78387.0,74588.0,620.2106137,28449.0,33050.0,142.99739,96889.0,220996.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,66549.0,114602.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,156779.0,195347.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,115429.0,223970.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,149209.0,231576.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,121059.0,204682.0
78387.0,74588.0,620.2106137,20438.0,37810.0,168.17183,200328.0,205164.0
,,,20438.0,37810.0,168.17183,87381.0,167383.0
,,,,,,65385.0,34510.0
,,,,,,128204.0,93580.0
,,,,,,116508.0,95461.0
,,,,,,133893.0,80468.0
,,,,,,120520.0,
